cohort_month,activity_month,transaction_count,incident_count,incident_rate,initial_users,unique_users,retention_rate,total_revenue
2019-11-01,2019-11-01,1,0.0,0.0,1,1,1.0,1.0
2019-11-01,2019-12-01,1,0.0,0.0,1,1,1.0,100.0
2019-11-01,2020-04-01,1,0.0,0.0,1,1,1.0,100.0
2019-11-01,2020-05-01,1,0.0,0.0,1,1,1.0,10.0
2019-11-01,2020-08-01,1,0.0,0.0,1,1,1.0,10.0
2019-11-01,2020-09-01,1,0.0,0.0,1,1,1.0,5.0
2019-11-01,2020-10-01,2,0.0,0.0,1,1,1.0,6.0
2019-12-01,2019-12-01,229,0.0,0.0,204,204,1.0,21757.0
2019-12-01,2020-01-01,75,0.0,0.0,204,69,0.3382352941176471,7163.0
2019-12-01,2020-02-01,46,0.0,0.0,204,44,0.21568627450980393,4441.0
2019-12-01,2020-03-01,66,0.0,0.0,204,56,0.27450980392156865,6350.0
2019-12-01,2020-04-01,66,0.0,0.0,204,53,0.25980392156862747,6350.0
2019-12-01,2020-05-01,74,0.0,0.0,204,66,0.3235294117647059,7095.0
2019-12-01,2020-06-01,76,0.0,0.0,204,59,0.28921568627450983,7355.0
2019-12-01,2020-07-01,63,0.0,0.0,204,52,0.2549019607843137,6140.0
2019-12-01,2020-08-01,76,0.0,0.0,204,63,0.3088235294117647,7090.0
2019-12-01,2020-09-01,50,0.0,0.0,204,42,0.20588235294117646,4610.0
2019-12-01,2020-10-01,71,0.0,0.0,204,59,0.28921568627450983,6330.0
2019-12-01,2020-11-01,1,0.0,0.0,204,1,0.004901960784313725,100.0
2020-01-01,2020-01-01,101,0.0,0.0,90,90,1.0,9864.0
2020-01-01,2020-02-01,21,0.0,0.0,90,19,0.2111111111111111,2060.0
2020-01-01,2020-03-01,15,0.0,0.0,90,14,0.15555555555555556,1460.0
2020-01-01,2020-04-01,35,0.0,0.0,90,27,0.3,3500.0
2020-01-01,2020-05-01,27,0.0,0.0,90,23,0.25555555555555554,2620.0
2020-01-01,2020-06-01,25,0.0,0.0,90,24,0.26666666666666666,2370.0
2020-01-01,2020-07-01,28,0.0,0.0,90,27,0.3,2710.0
2020-01-01,2020-08-01,22,0.0,0.0,90,21,0.23333333333333334,2150.0
2020-01-01,2020-09-01,22,0.0,0.0,90,20,0.2222222222222222,1970.0
2020-01-01,2020-10-01,24,0.0,0.0,90,23,0.25555555555555554,2300.0
2020-01-01,2020-11-01,1,0.0,0.0,90,1,0.011111111111111112,100.0
2020-02-01,2020-02-01,90,0.0,0.0,84,84,1.0,8000.0
2020-02-01,2020-03-01,48,0.0,0.0,84,44,0.5238095238095238,4640.0
2020-02-01,2020-04-01,48,0.0,0.0,84,41,0.4880952380952381,4527.0
2020-02-01,2020-05-01,44,0.0,0.0,84,41,0.4880952380952381,4300.0
2020-02-01,2020-06-01,42,0.0,0.0,84,38,0.4523809523809524,4055.0
2020-02-01,2020-07-01,37,0.0,0.0,84,36,0.42857142857142855,3655.0
2020-02-01,2020-08-01,45,0.0,0.0,84,36,0.42857142857142855,4250.0
2020-02-01,2020-09-01,27,0.0,0.0,84,25,0.2976190476190476,2555.0
2020-02-01,2020-10-01,42,0.0,0.0,84,35,0.4166666666666667,3795.0
2020-03-01,2020-03-01,78,0.0,0.0,69,69,1.0,7520.0
2020-03-01,2020-04-01,39,0.0,0.0,69,35,0.5072463768115942,3950.0
2020-03-01,2020-05-01,41,0.0,0.0,69,32,0.463768115942029,4040.0
2020-03-01,2020-06-01,43,0.0,0.0,69,41,0.5942028985507246,4450.0
2020-03-01,2020-07-01,34,0.0,0.0,69,30,0.43478260869565216,3455.0
2020-03-01,2020-08-01,30,0.0,0.0,69,28,0.4057971014492754,2840.0
2020-03-01,2020-09-01,27,0.0,0.0,69,26,0.37681159420289856,2550.0
